city,walk,transit,bike,liveability
New York,88,"88,6","69,3",63
Los Angeles,"68,6","52,9","58,7",49
Chicago,"77,2",65,"72,2",57
Houston,"47,5","36,2","48,6",48
Philadelphia,"74,8",67,"66,7",61
Phoenix,"41,4","35,6","55,9",49
San Antonio,"36,9","30,9","44,5",49
San Diego,"53,3","37,3",43,53
Dallas,46,"38,9","49,3",53
San Jose,"50,5","40,1","61,5",58
Jacksonville,"25,6","20,8","40,5",52
Indianapolis,31,"24,9","42,8",51
San Francisco,"88,7","77,1","72,3",65
Austin,"41,7","34,8",54,53
Columbus,"41,2","30,2","47,7",56
Fort Worth,"34,9","21,6","38,6",52
Charlotte,"26,4","27,4","31,3",52
Detroit,"51,1","35,7","52,1",47
El Paso,"40,4",28,42,46
Memphis,35,"22,2","41,2",47
Baltimore,"64,3","53,2","53,4",56
Boston,"82,8","72,4","69,4",62
Seattle,"74,4","59,6","71,1",60
"Washington D,C,","76,7","68,7","69,5",63
Nashville-Davidson,"28,8","21,7","29,7",49
Denver,"61,2","44,6","71,8",61
Louisville-Jefferson,"34,3","27,3","43,3",51
Milwaukee,"61,5","48,7","57,6",58
Portland,"67,3","49,3","82,7",62
Las Vegas,42,"35,5","46,5",50
Oklahoma City,"34,1","16,9","40,2",48
Albuquerque,"42,6","28,6","60,9",53
Tucson,"43,2","34,5","66,3",52
Fresno,"46,6","33,1","58,1",45
Sacramento,49,"33,9","66,9",57
Long Beach,"73,3","48,9","70,1",49
Kansas City,"35,3","25,5",35,54
Mesa,"37,9",27,"59,6",48
Virginia Beach,"33,1","20,7","41,7",55
Atlanta,"47,7","43,7","41,7",52
Colorado Springs,"36,1","18,8","44,7",53
Omaha,"48,2",24,"41,7",56
Raleigh,"31,3","29,4","39,3",57
Miami,"76,6",57,64,54
Cleveland,"57,1","43,9","52,3",57
Tulsa,39,"22,7","47,2",50
Oakland,"75,3","56,6","65,5",60
Minneapolis,"71,4",55,"83,5",66
Wichita,"34,8","19,7","43,9",53
Arlington,"38,1","0,3","39,5",49
Bakersfield,"37,3","24,6","43,7",41
New Orleans,58,"43,9","65,7",54
Honolulu,"65,7","56,3",51,57
Anaheim,"55,7","33,9","52,3",53
Tampa,"49,5","31,3","55,2",53
Aurora,"42,5","35,2","53,3",56
Santa Ana,"67,1","43,3","62,2",55
St. Louis,"65,7","42,6","57,7",54
Pittsburgh,"62,4","55,2","54,9",59
Corpus Christi,"40,3","26,6","42,1",51
Riverside,"42,7","29,9","48,9",46
Cincinnati,"49,1","44,1","35,6",59
Lexington-Fayette,"34,3","26,6","45,7",57
Anchorage,"30,9","21,6","51,8",51
Stockton,"43,7","25,4","52,4",46
St. Paul,"60,4","46,4",64,66
Newark,"75,9",65,"51,1",57
Buffalo,"66,6","47,5","62,8",58
Plano,"40,5","14,8",52,54
Lincoln,"44,1","24,3","58,5",59
Henderson,30,"24,6","43,5",51
Fort Wayne,"31,7","21,7",41,56
Jersey City,"86,6","70,5","63,9",58
St. Petersburg,43,"33,5","58,5",57
Chula Vista,"45,6","35,4","41,2",51
Norfolk,"45,8","35,7","46,9",52
Orlando,"41,1","32,7","56,8",53
Chandler,"35,4","24,4","55,4",49
Madison,"49,7","34,9","65,5",64
Lubbock,39,"20,6","42,5",48
Durham,"30,3","27,5","37,6",59
Garland,"40,2","29,2","40,6",51
Glendale,"40,2","33,5","56,5",49
Reno,"40,2","24,2",52,51
Hialeah,"67,9",39,"50,6",51
Paradise,"50,1","38,1","50,1",50
Chesapeake,"21,3","13,9","34,7",52
Scottsdale,"31,9","23,3","56,4",51
North Las Vegas,"33,7","33,3","48,5",49
Irving,"44,8","28,7",42,53
Fremont,"49,9","36,3","54,4",58
Irvine,"43,2","25,7","69,5",56
Birmingham,"33,2","21,5","30,7",48
Rochester,"60,7","41,3","59,9",63
San Bernardino,45,"30,9","43,6",44
Spokane,"49,2",36,"52,1",56
Gilbert,29,"15,1","52,6",48
Arlington,"71,2","58,6","72,3",67
Montgomery,"25,8","16,4","32,9",48
Boise City,"38,5","22,6","62,3",55
Des Moines,45,"30,1","39,4",62
